player_id,country_id,name,sex,hand,ht,year_of_birth
105453,JPN,Kei Nishikori,M,R,178,1992
106421,RUS,Daniil Medvedev,M,R,198,1998
104542,FRA,Jo-Wilfried Tsonga,F,R,188,1987
104871,FRA,Jeremy Chardy,M,R,188,1989
200282,AUS,Alex De Minaur,M,R,183,2001
105683,CAN,Milos Raonic,M,R,196,1993
106034,JPN,Yasutaka Uchiyama,M,R,185,1995
105777,BUL,Grigor Dimitrov,M,R,188,1993
106121,JPN,Taro Daniel,M,R,185,1995
111442,AUS,Jordan Thompson,M,R,183,1996
104918,GBR,Andy Murray,M,R,190,1989
200175,SRB,Miomir Kecmanovic,M,R,183,2002
106401,AUS,Nick Kyrgios,M,R,193,1997
106378,GBR,Kyle Edmund,M,R,188,1997
105357,AUS,John Millman,M,R,183,1991
106045,USA,Denis Kudla,M,R,180,1995
106423,AUS,Thanasi Kokkinakis,M,R,185,1998
106109,AUS,Alex Bolt,M,L,185,1995
200615,AUS,Alexei Popyrin,M,R,196,2002
105902,AUS,James Duckworth,M,R,183,1994
104919,ARG,Leonardo Mayer,M,R,188,1989
105379,SLO,Aljaz Bedene,M,R,181,1992
105992,USA,Ryan Harrison,M,R,183,1994
105526,GER,Jan Lennard Struff,M,R,193,1992
200005,FRA,Ugo Humbert,M,L,188,2000
106415,JPN,Yoshihito Nishioka,M,L,170,1998
105815,USA,Tennys Sandgren,M,R,188,1994
126203,USA,Taylor Fritz,F,R,193,2000
215018,AUS,Destanee Aiava,F,R,185,2002
201540,FRA,Kristina Mladenovic,F,R,184,1995
211279,GBR,Harriet Dart,F,R,185,1999
211880,AUS,Priscilla Hon,F,R,185,2000
201545,LAT,Anastasija Sevastova,F,R,185,1992
201611,AUS,Daria Gavrilova,F,R,166,1996
201520,CZE,Petra Kvitova,F,L,183,1992
203389,USA,Danielle Rose Collins,F,R,178,1996
204426,EST,Anett Kontaveit,F,R,174,1998
201521,ESP,Carla Suarez Navarro,F,R,162,1991
201615,UKR,Lesia Tsurenko,F,R,174,1991
202596,ROU,Mihaela Buzarnescu,F,L,185,1990
214040,AUS,Kimberly Birrell,F,U,185,2000
214082,RUS,Darya Kasatkina,F,R,170,1999
201662,CZE,Karolina Pliskova,F,R,184,1994
201709,KAZ,Yulia Putintseva,F,R,163,1997
213631,CZE,Marie Bouzkova,F,R,180,2001
201325,AUS,Samantha Stosur,F,R,172,1986
201548,AUS,Ajla Tomljanovic,F,R,185,1995
211701,CZE,Katerina Siniakova,F,R,174,1998
202427,GBR,Johanna Konta,F,R,180,1993
201585,USA,Sloane Stephens,F,R,170,1995
202428,NED,Kiki Bertens,F,R,182,1994
210722,BEL,Elise Mertens,F,R,179,1998
202499,CRO,Donna Vekic,F,R,185,1998
201517,SVK,Magdalena Rybarikova,F,R,180,1991
205925,BLR,Aliaksandra Sasnovich,F,R,185,1996
215713,RUS,Anastasia Potapova,F,R,185,2003
211768,JPN,Naomi Osaka,F,R,180,2000
202494,UKR,Elina Svitolina,F,R,174,1997
106216,USA,Bjorn Fratangelo,M,R,185,1996
117360,AUS,Marc Polmans,M,R,185,1999
124187,USA,Reilly Opelka,M,R,211,2000
105166,CAN,Peter Polansky,M,R,180,1990
106426,CHI,Cristian Garin,F,R,185,1998
106331,AUS,Christopher O'Connell,F,R,183,1996
105974,AUS,Maverick Banes,M,R,185,1994
105441,AUS,John Patrick Smith,M,L,185,1992
134329,AUS,Blake Ellis,M,U,185,2001
111153,USA,Christopher Eubanks,M,R,185,1998
105614,USA,Bradley Klahn,M,L,190,1993
216146,UKR,Marta Kostyuk,F,R,185,2004
201586,GBR,Heather Watson,F,R,170,1994
202424,SUI,Conny Perrin,F,R,185,1993
203530,SUI,Viktorija Golubic,F,R,185,1995
206362,AUS,Naiktha Bains,F,R,185,2000
211684,POL,Magdalena Frech,F,R,185,2000
211095,USA,Bernarda Pera,F,L,185,1997
203462,UKR,Kateryna Kozlova,F,R,185,1996
213530,USA,Allie Kiick,F,R,185,1997
214452,USA,Caroline Dolehide,F,R,185,2001
201556,CZE,Lucie Hradecka,F,R,177,1987
215337,SRB,Olga Danilovic,F,L,185,2003
201492,GER,Andrea Petkovic,F,R,180,1990
214863,RUS,Sofya Zhuk,F,R,185,2002
202484,USA,Nicole Gibbs,F,R,185,1995
211941,AUS,Zoe Hives,F,U,185,1999
201518,BEL,Yanina Wickmayer,F,R,182,1992
214096,CZE,Karolina Muchova,F,R,178,1999
211878,AUS,Lizette Cabrera,F,R,185,2000
215035,UKR,Dayana Yastremska,F,R,175,2002
201478,USA,Varvara Lepchenko,F,L,180,1988
201605,LUX,Mandy Minella,F,R,180,1988
201597,JPN,Kurumi Nara,F,R,155,1994
201447,USA,Vania King,F,R,165,1991
202600,BUL,Viktoriya Tomova,F,R,185,1997
206108,USA,Jennifer Brady,F,R,178,1997
201539,USA,Christina Mchale,F,R,170,1994
202434,SRB,Aleksandra Krunic,F,R,185,1995
105138,ESP,Roberto Bautista Agut,M,R,183,1990
104607,CZE,Tomas Berdych,M,R,196,1988
104925,SRB,Novak Djokovic,M,R,188,1989
106065,ITA,Marco Cecchinato,M,R,185,1995
105932,GEO,Nikoloz Basilashvili,M,R,185,1994
104527,SUI,Stan Wawrinka,F,R,183,1987
105583,SRB,Dusan Lajovic,M,R,180,1992
105732,FRA,Pierre Hugues Herbert,M,R,188,1993
105916,HUN,Marton Fucsovics,M,R,188,1994
126094,RUS,Andrey Rublev,M,R,188,2000
111797,CHI,Nicolas Jarry,M,R,185,1998
104198,ESP,Guillermo Garcia Lopez,M,R,188,1985
105575,LTU,Ricardas Berankis,M,R,175,1992
105550,ARG,Guido Pella,M,L,185,1992
104269,ESP,Fernando Verdasco,M,L,188,1986
109739,GER,Maximilian Marterer,M,L,185,1997
106000,BIH,Damir Dzumhur,M,R,172,1994
105657,ROU,Marius Copil,M,R,193,1993
104312,ITA,Andreas Seppi,M,R,190,1986
105077,ESP,Albert Ramos,M,L,188,1990
111575,RUS,Karen Khachanov,M,R,198,1998
104898,NED,Robin Haase,M,R,190,1989
122570,QAT,Mubarak Shannan Zayid,M,U,185,1997
126610,ITA,Matteo Berrettini,M,R,196,1998
105676,BEL,David Goffin,M,R,180,1993
105173,FRA,Adrian Mannarino,M,L,183,1990
117356,TUR,Cem Ilkel,M,R,185,1998
104660,UKR,Sergiy Stakhovsky,M,R,193,1988
103893,ITA,Paolo Lorenzi,M,R,183,1984
104259,GER,Philipp Kohlschreiber,M,R,178,1986
105376,GER,Peter Gojowczyk,M,R,185,1992
106233,AUT,Dominic Thiem,M,R,185,1996
110602,AUT,Dennis Novak,M,R,185,1996
106325,QAT,Jabor Al Mutawa,M,U,185,1996
104571,CYP,Marcos Baghdatis,M,R,183,1987
104586,CZE,Lukas Rosol,M,R,196,1988
104868,GBR,James Ward,M,R,190,1989
126237,ITA,Gian Marco Moroni,M,R,185,2000
105806,BIH,Mirza Basic,M,R,185,1994
104897,GER,Matthias Bachinger,M,R,188,1989
105477,ARG,Marco Trungelliti,M,R,185,1992
110476,QAT,Mousa Shanan Zayed,M,U,185,1996
105063,ITA,Andrea Arnaboldi,M,L,185,1990
104731,RSA,Kevin Anderson,M,R,203,1988
103333,CRO,Ivo Karlovic,M,R,208,1981
104468,FRA,Gilles Simon,M,R,183,1987
104327,BEL,Steve Darcis,M,R,178,1986
144719,ESP,Jaume Munar,M,R,183,1999
105332,FRA,Benoit Paire,M,R,196,1991
104291,TUN,Malek Jaziri,M,R,185,1986
105208,LAT,Ernests Gulbis,M,R,190,1991
111513,SRB,Laslo Djere,M,R,188,1997
104620,ITA,Simone Bolelli,M,R,183,1988
125802,BLR,Ilya Ivashka,M,R,193,1996
106210,CZE,Jiri Vesely,M,L,198,1996
111581,USA,Michael Mmoh,M,R,185,2000
106368,IND,Ramkumar Ramanathan,M,R,185,1997
105539,RUS,Evgeny Donskoy,M,R,185,1992
111202,KOR,Hyeon Chung,M,R,185,1998
111459,IND,Arjun Kadhe,M,R,185,1996
104797,UZB,Denis Istomin,M,R,188,1989
105430,MDA,Radu Albot,M,R,175,1992
128034,POL,Hubert Hurkacz,M,R,196,1999
126156,FRA,Antoine Hoang,F,R,185,1998
106329,BRA,Thiago Monteiro,M,L,183,1996
106148,ESP,Roberto Carballes Baena,M,R,183,1995
105432,IND,Prajnesh Gunneswaran,M,L,185,1992
104719,ESP,Marcel Granollers,M,R,190,1988
104665,ESP,Pablo Andujar,M,R,180,1988
200000,CAN,Felix Auger Aliassime,M,R,193,2003
105155,POR,Pedro Sousa,M,R,180,1990
106078,BLR,Egor Gerasimov,M,R,196,1995
104593,ESP,Daniel Gimeno Traver,M,R,185,1988
105031,IND,Saketh Myneni,M,R,185,1990
105359,TPE,Jason Jung,M,R,185,1991
105413,SVK,Andrej Martin,M,R,180,1992
104978,GER,Daniel Brands,M,R,196,1990
111790,CAN,Brayden Schnur,M,R,185,1998
124116,AUT,Sebastian Ofner,M,R,185,1998
105074,BEL,Ruben Bemelmans,M,L,185,1990
106420,ITA,Gianluigi Quinzi,M,L,185,1998
124154,IND,Sasi Kumar Mukund,M,R,185,1999
105656,ESA,Marcelo Arevalo,M,R,185,1993
111815,GBR,Cameron Norrie,M,L,188,1998
105807,ESP,Pablo Carreno Busta,M,R,188,1994
104926,ITA,Fabio Fognini,M,R,178,1989
104545,USA,John Isner,M,R,206,1987
105311,POR,Joao Sousa,M,R,185,1991
103970,ESP,David Ferrer,M,R,175,1984
104907,NZL,Jose Rubin Statham,M,R,183,1989
133430,CAN,Denis Shapovalov,M,L,185,2001
105449,USA,Steve Johnson,M,R,188,1992
111456,USA,Mackenzie McDonald,F,R,185,1997
104655,URU,Pablo Cuevas,M,R,180,1988
104547,ARG,Horacio Zeballos,M,L,188,1987
105047,GER,Tim Puetz,M,R,185,1990
103565,FRA,Stephane Robert,M,R,185,1982
104667,AUT,Philipp Oswald,M,R,185,1988
105341,ITA,Thomas Fabbiano,M,R,185,1991
110686,NZL,Finn Tearney,M,R,185,1993
109054,GER,Daniel Masur,M,R,185,1996
105406,ITA,Roberto Marcora,M,R,185,1992
208055,NZL,Ajeet Rai,M,R,185,2001
105015,CRO,Franko Skugor,F,R,193,1990
106043,ARG,Diego Schwartzman,F,R,170,1995
126774,GRE,Stefanos Tsitsipas,M,R,193,2001
105819,ARG,Guido Andreozzi,M,R,185,1994
105373,SVK,Martin Klizan,M,L,190,1992
105023,USA,Sam Querrey,M,R,198,1990
105051,AUS,Matthew Ebden,M,R,188,1990
106298,FRA,Lucas Pouille,M,R,185,1996
126207,USA,Frances Tiafoe,F,R,188,2000
202429,ITA,Camila Giorgi,F,R,168,1994
201444,TPE,Su Wei Hsieh,F,R,169,1988
214544,BLR,Aryna Sabalenka,F,R,182,2000
201490,SUI,Timea Bacsinszky,F,R,185,1991
201495,SVK,Dominika Cibulkova,F,R,161,1991
213583,GER,Tatjana Maria,F,R,185,1990
202469,ESP,Garbine Muguruza,F,R,182,1996
206420,RUS,Ekaterina Alexandrova,F,R,175,1997
201620,PUR,Monica Puig,F,R,170,1996
202458,AUS,Ashleigh Barty,F,R,166,1998
211533,LAT,Jelena Ostapenko,F,R,177,1999
201493,GER,Angelique Kerber,F,L,173,1990
201594,ROU,Simona Halep,F,R,168,1994
106186,AUS,Jason Kubler,M,R,185,1995
201527,SUI,Stefanie Voegele,F,R,170,1992
214956,CZE,Miriam Kolodziejova,F,R,185,1999
205923,AUS,Abbie Myers,F,R,185,1997
213666,AUS,Maddison Inglis,F,R,171,2000
201610,KAZ,Zarina Diyas,F,R,172,1996
201366,CZE,Barbora Zahlavova Strycova,F,R,164,1988
215811,AUS,Alexandra Bozovic,F,U,185,2001
205815,JPN,Eri Hozumi,F,R,185,1996
201318,USA,Bethanie Mattek Sands,F,R,168,1987
214461,SLO,Tamara Zidansek,F,R,168,2000
104745,ESP,Rafael Nadal,M,L,185,1988
103819,SUI,Roger Federer,M,R,185,1984
100644,GER,Alexander Zverev,M,R,198,1999
105227,CRO,Marin Cilic,M,R,198,1991
106432,CRO,Borna Coric,M,R,188,1999
105936,SRB,Filip Krajinovic,M,R,185,1994
104792,FRA,Gael Monfils,M,R,193,1989
106283,USA,Mitchell Krueger,M,R,185,1996
105554,GBR,Daniel Evans,M,R,175,1992
111794,POL,Kamil Majchrzak,M,R,185,1998
104678,SRB,Viktor Troicki,M,R,193,1988
144750,RSA,Lloyd Harris,F,R,193,1999
200484,GER,Rudolf Molleker,M,R,185,2003
