tourney_spectators,year,tourney_id
18086,2016,2016-M006-M
18086,2016,2016-M006-P
13004,2016,2016-580-G
11801,2016,2016-M007-M
11801,2016,2016-M007-P
10241,2016,2016-520-G
9891,2016,2016-540-G
9129,2016,2016-560-G
8536,2016,2016-0352-M
7746,2016,2016-1003-P
7499,2016,2016-1075-I
7173,2016,2016-0806-P
7011,2016,2016-M035-I
7011,2016,2016-M035-A
6657,2016,2016-O16-A
6657,2016,2016-O16-O
6619,2016,2016-M009-M
6619,2016,2016-M009-P
6617,2016,2016-0425-A
6484,2016,2016-0710-P
5933,2016,2016-M024-M
5933,2016,2016-M024-P
5798,2016,2016-5014-M
5728,2016,2016-0804-P
5638,2016,2016-0410-M
5547,2016,2016-0421-M
5202,2016,2016-6242-A
5158,2016,2016-0741-A
4993,2016,2016-9028-C
4904,2016,2016-6965-C
4890,2016,2016-W-C10-CHI-01A-2016-10
4812,2016,2016-W-C10-ESP-12A-2016-10
4803,2016,2016-W-C10-GER-03A-2016-10
4735,2016,2016-W-C10-SVK-01A-2016-10
4720,2016,2016-W-C10-RUS-04A-2016-10
4712,2016,2016-W-C25-MEX-07A-2016-25
4710,2016,2016-W-C25-JPN-02A-2016-25
4662,2016,2016-W-C50-USA-11A-2016-50
4658,2016,2016-W-C50-USA-02A-2016-50
4622,2016,2016-W-C10-GBR-05A-2016-10
4616,2016,2016-W-C10-POR-02A-2016-10
4611,2016,2016-W-C25-JPN-06A-2016-25
4587,2016,2016-W-C10-TPE-01A-2016-10
4548,2016,2016-M015-A
4548,2016,2016-M015-P
4533,2016,2016-7442-C
4522,2016,2016-W-C25-FRA-02A-2016-25
4520,2016,2016-W-C75-AUS-01A-2016-75
4518,2016,2016-0429-A
4499,2016,2016-0854-C
4487,2016,2016-W-C25-KOR-02A-2016-25
4483,2016,2016-W-C10-TUR-03A-2016-10
4479,2016,2016-W-C10-TUN-24A-2016-10
4473,2016,2016-W-C10-CRO-03A-2016-10
4468,2016,2016-W-C50-GBR-02A-2016-50
4463,2016,2016-6967-A
4444,2016,2016-W-C10-IND-01A-2016-10
4442,2016,2016-W-C10-EGY-48A-2016-10
4426,2016,2016-W-C10-TUR-08A-2016-10
4422,2016,2016-W-C10-FRA-10A-2016-10
4407,2016,2016-W-C25-AUS-06A-2016-25
4387,2016,2016-W-C10-TUR-12A-2016-10
4361,2016,2016-W-C25-USA-14A-2016-25
4352,2016,2016-W-C10-RUS-03A-2016-10
4352,2016,2016-W-C25-GER-06A-2016-25
4341,2016,2016-6014-C
4337,2016,2016-W-C10-GEO-03A-2016-10
4331,2016,2016-0825-I
4321,2016,2016-7353-C
4294,2016,2016-W-C25-BUL-01A-2016-25
4294,2016,2016-W-C10-TUR-18A-2016-10
4281,2016,2016-W-C100-CHN-01A-2016-100
4277,2016,2016-7021-C
4268,2016,2016-1048-I
4267,2016,2016-W-C25-BRA-06A-2016-25
4264,2016,2016-3967-C
4263,2016,2016-W-C10-CZE-04A-2016-10
4252,2016,2016-W-C10-TUN-12A-2016-10
4243,2016,2016-W-C10-SWE-03A-2016-10
4241,2016,2016-W-C10-ESP-06A-2016-10
4225,2016,2016-W-C50-CHN-05A-2016-50
4223,2016,2016-1091-I
4218,2016,2016-W-C10-SUI-01A-2016-10
4213,2016,2016-1796-C
4207,2016,2016-W-C10-FRA-04A-2016-10
4204,2016,2016-W-C10-TUR-20A-2016-10
4201,2016,2016-W-C10-ISR-04A-2016-10
4197,2016,2016-W-C25-USA-01A-2016-25
4185,2016,2016-W-C10-MDA-01A-2016-10
4183,2016,2016-W-C25-BLR-03A-2016-25
4182,2016,2016-7584-C
4175,2016,2016-W-C10-RSA-02A-2016-10
4163,2016,2016-3473-C
4156,2016,2016-7077-C
4154,2016,2016-W-C10-THA-05A-2016-10
4152,2016,2016-W-C10-LUX-01A-2016-10
4151,2016,2016-M021-M
4151,2016,2016-M021-P
4139,2016,2016-W-C10-GRE-05A-2016-10
4135,2016,2016-W-C25-AUS-07A-2016-25
4123,2016,2016-W-C10-GBR-06A-2016-10
4123,2016,2016-W-C25-UKR-01A-2016-25
4111,2016,2016-0784-C
4110,2016,2016-W-C10-KAZ-06A-2016-10
4108,2016,2016-1095-C
4105,2016,2016-7203-C
4099,2016,2016-W-C10-MEX-07A-2016-10
4095,2016,2016-0695-C
4095,2016,2016-6572-C
4093,2016,2016-W-C100-EGY-01A-2016-100
4090,2016,2016-W-C50-USA-10A-2016-50
4086,2016,2016-1072-C
4084,2016,2016-W-C10-CHN-06A-2016-10
4084,2016,2016-W-C10-BOL-03A-2016-10
4072,2016,2016-W-C10-TUN-19A-2016-10
4068,2016,2016-W-C10-EGY-29A-2016-10
4068,2016,2016-7239-C
4066,2016,2016-7496-C
4066,2016,2016-W-C10-EGY-35A-2016-10
4059,2016,2016-3994-C
