loser_name,num_defeats,winner_name
Aada Inna,1,Emily Seibold
Aalisha Alexis,1,Lexie Stevens
Aalisha Alexis,1,Nadia Echeverria Alam
Aaliya Ebrahim,1,Anja Draskovic
Aaliya Ebrahim,1,Nada Fouad
Aaliya Ebrahim,1,Victoria Kalaitzis
Aaliyah Hohmann,1,Akvile Parazinskaite
Aalyka Ebrahim,1,Yasmin Ezzat
Aalyka Ebrahim,1,Ema Vasic
Aalyka Ebrahim,1,Wiktoria Saska
Aanisha Rahul Shewate,1,Yashika Venu
Aanu Ayegbusi,1,Pranjala Yadlapalli
Aanu Ayegbusi,1,Blessing Samuel
Aareyalee Amrutsinh Chavan,1,Aastha Dargude
Aaro Pollanen,1,Patrik Niklas Salminen
Aaron Addison,1,Omar Jasika
Aaron Addison,1,Maxime Chazal
Aaron Addison,1,Frank Moser
Aaron Addison,1,Fajing Sun
Aaron Addison,1,Scott Puodziunas
Aaron Addison,1,Mislav Bosnjak
Aaron Addison,1,Harri Heliovaara
Aaron Addison,1,Marc Polmans
Aaron Addison,1,Lucas Vuradin
Aashi Kapoor,1,Sai Dedeepya Yeddula
Aastha Dargude,1,Nidhi Chilumula
Aastha Dargude,1,Alexandra Walters
Aayushi Tanwar,1,Rishika Sunkara
Aayushi Tanwar,1,Avika Sagwal
Abbie Myers,3,Olivia Rogowska
Abdulhamid Mubarak,1,Jeson Patrombon
Abdullah Maqdas,1,Wishaya Trongcharoenchaikul
Abdullah Maqdas,1,Jirat Navasirisomboon
Abdulrahman Al Janahi,1,Thomas Fabbiano
Abdulrahman Alawadhi,1,Jeson Patrombon
Abduvoris Saitmukhamedov,1,Denis Yevseyev
Abduvoris Saitmukhamedov,1,Mikhail Ledovskikh
Abhilasha Mehra,1,Kanika Vaidya
Abhinav Sanjeev Shanmugam,1,Renta Tokuda
Abhinav Sanjeev Shanmugam,1,Duck Hee Lee
Abhinav Sanjeev Shanmugam,1,Ramkumar Ramanathan
Abhinav Sanjeev Shanmugam,1,Ranjeet Virali Murugesan
Abhinav Sanjeev Shanmugam,1,Borna Gojo
Abhinav Sanjeev Shanmugam,1,Shalva Dzhanashia
Abhinav Sanjeev Shanmugam,1,Rio Noguchi
Abhinav Sanjeev Shanmugam,1,Jumpei Yamasaki
Abigail Cazarez Gonzalez,1,Emina Bektas
