country_ioc,continent,language
JPN,Asia,Japanese
RUS,Europe,Russian
FRA,Europe,French
AUS,Oceania,English
CAN,America,English
BUL,Europe,Bulgarian
GBR,Europe,English
SRB,Europe,Serbian (Latin)
USA,America,English
ARG,America,Spanish
SLO,Europe,Slovenian
GER,Europe,Upper sorbian
LAT,Europe,Latvian
CZE,Europe,Czech
EST,Europe,Estonian
ESP,Europe,Spanish
UKR,Europe,Ukrainian
ROU,Europe,Romanian
KAZ,Asia,Kazakh
NED,Europe,Frisian
BEL,Europe,French
CRO,Europe,Croatian
SVK,Europe,Slovak
BLR,Europe,Belarusian
CHI,America,Spanish
SUI,Europe,Romansh
POL,Europe,Polish
LUX,Europe,Luxembourgish
ITA,Europe,Italian
GEO,Europe,Georgian
HUN,Europe,Hungarian
LTU,Europe,Lithuanian
BIH,Europe,Serbian (Latin)
QAT,Asia,English
TUR,Europe,Turkish
AUT,Europe,German
CYP,Europe,English
RSA,Africa,Setswana
TUN,Africa,Arabic
IND,Asia,Telugu
KOR,Asia,Korean
UZB,Asia,Uzbek (Latin)
MDA,Europe,English
BRA,America,Portuguese
POR,Europe,Portuguese
TPE,Asia,Chinese (Traditional) legacy
ESA,America,Spanish
NZL,Oceania,English
URU,America,Spanish
GRE,Europe,Greek
PUR,America,Spanish
CHN,Asia,Yi
THA,Asia,Thai
SWE,Europe,Swedish
DEN,Europe,Danish
COL,America,Spanish
DOM,America,Spanish
NOR,Europe,Sami (Southern)
EGY,Africa,Arabic
BAR,America,English
LIE,Europe,German
PAR,America,Spanish
MNE,Europe,Serbian (Latin)
BOL,America,Spanish
ECU,America,Spanish
MEX,America,Spanish
IRL,Europe,Irish
ISR,Asia,Hebrew
ALG,Africa,Tamazight (Latin)
MON,Europe,French
FIN,Europe,Swedish
VEN,America,Spanish
LIB,Africa,Arabic
GUA,America,Spanish
PER,America,Spanish
INA,Asia,Indonesian
PHI,Asia,English
HKG,Asia,Chinese (Traditional) legacy
MAR,Africa,Arabic
ZIM,Africa,English
PAK,Asia,Urdu
IRI,Asia,Persian
SRI,Asia,Sinhala
MKD,Europe,Macedonian
KGZ,Asia,Kyrgyz
ARM,Asia,Armenian
PNG,Oceania,English
SIN,Asia,English
BAH,America,English
TTO,America,English
GRN,Europe,English
TRI,America,English
CUB,America,Spanish
CRC,America,Spanish
OMA,Africa,Arabic
MAS,Asia,Malay
PAN,America,Spanish
CMR,Africa,Arabic
MLT,Europe,Maltese
LBN,Asia,English
BDI,Africa,Arabic
NGR,Africa,Yoruba
MRI,Africa,Arabic
GAB,Africa,Arabic
AZE,Asia,Azerbaijani
BRN,Asia,English
SAM,Oceania,English
JAM,America,English
KEN,Africa,Kiswahili
GHA,Africa,Arabic
MGL,Asia,Mongolian (Cyrillic)
JOR,Asia,English
GUD,America,English
NAM,Africa,Arabic
REU,Africa,Arabic
MAD,Africa,Arabic
MRN,Africa,Arabic
VIE,Europe,Vietnamese
UNK,Europe,English
SYR,Asia,Syriac
SGP,Asia,English
UAE,Africa,Arabic
AHO,Africa,Arabic
BEN,Africa,Bengali
HAI,America,English
ERI,Africa,Arabic
ITF,Africa,Arabic
COD,Africa,Arabic
LBA,Africa,Arabic
HON,America,Spanish
TKM,Asia,English
TJK,Asia,Tajik (Cyrillic)
POC,Africa,Arabic
BER,Africa,Berber languages
AND,Europe,English
SMR,Europe,English
PHL,Asia,English
ANT,America,English
TOG,Africa,Tonga (Nyasa)
GUM,Oceania,English
VIN,Africa,Arabic
BOT,Africa,Arabic
CAM,Asia,Khmer
ZAM,Africa,Arabic
KUW,Asia,Arabic
DEU,Europe,Upper sorbian
SAU,Asia,English
NGA,Africa,Yoruba
BGR,Europe,English
NLD,Europe,Frisian
LVA,Europe,English
GRC,Europe,Greek
CRI,America,English
BAN,Africa,Balinese
