date_id,day,month,year,quarter
20181231,31,12,2018,4
20190107,7,1,2019,1
20190114,14,1,2019,1
20190204,4,2,2019,1
20190211,11,2,2019,1
20190218,18,2,2019,1
20190225,25,2,2019,1
20190304,4,3,2019,1
20190318,18,3,2019,1
20190408,8,4,2019,2
20190415,15,4,2019,2
20190422,22,4,2019,2
20190429,29,4,2019,2
20190506,6,5,2019,2
20190513,13,5,2019,2
20190520,20,5,2019,2
20190527,27,5,2019,2
20190610,10,6,2019,2
20190617,17,6,2019,2
20190624,24,6,2019,2
20190701,1,7,2019,3
20190715,15,7,2019,3
20190722,22,7,2019,3
20190729,29,7,2019,3
20190805,5,8,2019,3
20190812,12,8,2019,3
20190819,19,8,2019,3
20190826,26,8,2019,3
20190916,16,9,2019,3
20190923,23,9,2019,3
20190930,30,9,2019,3
20191007,7,10,2019,4
20191014,14,10,2019,4
20191021,21,10,2019,4
20191028,28,10,2019,4
20191111,11,11,2019,4
20191119,19,11,2019,4
20191121,21,11,2019,4
20191120,20,11,2019,4
20191118,18,11,2019,4
20191122,22,11,2019,4
20191124,24,11,2019,4
20191123,23,11,2019,4
20190913,13,9,2019,3
20190914,14,9,2019,3
20190405,5,4,2019,2
20190201,1,2,2019,1
20180101,1,1,2018,1
20180108,8,1,2018,1
20180115,15,1,2018,1
20180202,2,2,2018,1
20180203,3,2,2018,1
20180205,5,2,2018,1
20180212,12,2,2018,1
20180219,19,2,2018,1
20180226,26,2,2018,1
20180305,5,3,2018,1
20180319,19,3,2018,1
20180406,6,4,2018,2
20180407,7,4,2018,2
20180409,9,4,2018,2
20180416,16,4,2018,2
20180423,23,4,2018,2
20180430,30,4,2018,2
20180507,7,5,2018,2
20180514,14,5,2018,2
20180521,21,5,2018,2
20180528,28,5,2018,2
20180611,11,6,2018,2
20180618,18,6,2018,2
20180625,25,6,2018,2
20180702,2,7,2018,3
20180716,16,7,2018,3
20180723,23,7,2018,3
20180730,30,7,2018,3
20180806,6,8,2018,3
20180813,13,8,2018,3
20180820,20,8,2018,3
20180827,27,8,2018,3
20180914,14,9,2018,3
20180915,15,9,2018,3
20180917,17,9,2018,3
20180924,24,9,2018,3
20181001,1,10,2018,4
20181008,8,10,2018,4
20181015,15,10,2018,4
20181022,22,10,2018,4
20181029,29,10,2018,4
20181105,5,11,2018,4
20181112,12,11,2018,4
20181123,23,11,2018,4
20171113,13,11,2017,4
20171106,6,11,2017,4
20170904,4,9,2017,3
20171120,20,11,2017,4
20170522,22,5,2017,2
20170529,29,5,2017,2
20170911,11,9,2017,3
20171002,2,10,2017,4
20171009,9,10,2017,4
20170213,13,2,2017,1
20170130,30,1,2017,1
20170220,20,2,2017,1
20170206,6,2,2017,1
20170227,27,2,2017,1
20170306,6,3,2017,1
20170320,20,3,2017,1
20170327,27,3,2017,1
20171030,30,10,2017,4
20170918,18,9,2017,3
20170925,25,9,2017,3
20170807,7,8,2017,3
20170814,14,8,2017,3
20170717,17,7,2017,3
20170710,10,7,2017,3
20170626,26,6,2017,2
20170821,21,8,2017,3
20170828,28,8,2017,3
20170605,5,6,2017,2
20170612,12,6,2017,2
20170403,3,4,2017,2
20170724,24,7,2017,3
20171127,27,11,2017,4
20170619,19,6,2017,2
20171023,23,10,2017,4
20171204,4,12,2017,4
20170313,13,3,2017,1
20170424,24,4,2017,2
20170410,10,4,2017,2
20170508,8,5,2017,2
20170515,15,5,2017,2
20170703,3,7,2017,3
20171016,16,10,2017,4
20170116,16,1,2017,1
20170123,23,1,2017,1
20170417,17,4,2017,2
20170501,1,5,2017,2
20170731,31,7,2017,3
20170109,9,1,2017,1
20170102,2,1,2017,1
20171211,11,12,2017,4
20171225,25,12,2017,4
20171218,18,12,2017,4
20161114,14,11,2016,4
20160905,5,9,2016,3
20161121,21,11,2016,4
20160502,2,5,2016,2
20161017,17,10,2016,4
20160530,30,5,2016,2
20160704,4,7,2016,3
20160912,12,9,2016,3
20161024,24,10,2016,4
20161107,7,11,2016,4
20160919,19,9,2016,3
20160509,9,5,2016,2
20161212,12,12,2016,4
20160201,1,2,2016,1
20160425,25,4,2016,2
20160606,6,6,2016,2
20160718,18,7,2016,3
20160801,1,8,2016,3
20160815,15,8,2016,3
20160822,22,8,2016,3
20160829,29,8,2016,3
20160620,20,6,2016,2
20160711,11,7,2016,3
20160725,25,7,2016,3
20161205,5,12,2016,4
20160321,21,3,2016,1
20160328,28,3,2016,1
20160404,4,4,2016,2
20160411,11,4,2016,2
20160418,18,4,2016,2
20160926,26,9,2016,3
20161003,3,10,2016,4
20160613,13,6,2016,2
20160229,29,2,2016,1
20160307,7,3,2016,1
20160314,14,3,2016,1
20161031,31,10,2016,4
20160516,16,5,2016,2
20161010,10,10,2016,4
20160111,11,1,2016,1
20160118,18,1,2016,1
20160125,25,1,2016,1
20160208,8,2,2016,1
20160215,15,2,2016,1
20160222,22,2,2016,1
20160627,27,6,2016,2
20160808,8,8,2016,3
20161128,28,11,2016,4
20160523,23,5,2016,2
20161219,19,12,2016,4
20160104,4,1,2016,1
20200106,6,1,2020,1
20200113,13,1,2020,1
20200120,20,1,2020,1
20200203,3,2,2020,1
20200210,10,2,2020,1
20200217,17,2,2020,1
20200224,24,2,2020,1
20200824,24,8,2020,3
20200831,31,8,2020,3
20200907,7,9,2020,3
20200914,14,9,2020,3
20200921,21,9,2020,3
20200928,28,9,2020,3
20201012,12,10,2020,4
20201019,19,10,2020,4
20201026,26,10,2020,4
20201102,2,11,2020,4
20201109,9,11,2020,4
20201116,16,11,2020,4
20200306,6,3,2020,1
20210104,4,1,2021,1
20210105,5,1,2021,1
20210201,1,2,2021,1
20210202,2,2,2021,1
20210208,8,2,2021,1
20210222,22,2,2021,1
20210301,1,3,2021,1
20210308,8,3,2021,1
20210315,15,3,2021,1
20210322,22,3,2021,1
20210405,5,4,2021,2
20210412,12,4,2021,2
20210419,19,4,2021,2
20210426,26,4,2021,2
20210503,3,5,2021,2
20210510,10,5,2021,2
20210517,17,5,2021,2
20210524,24,5,2021,2
20210531,31,5,2021,2
20210607,7,6,2021,2
20210614,14,6,2021,2
20210621,21,6,2021,2
20210628,28,6,2021,2
20210712,12,7,2021,3
20210719,19,7,2021,3
20210726,26,7,2021,3
20210724,24,7,2021,3
20210802,2,8,2021,3
20210809,9,8,2021,3
20210816,16,8,2021,3
20210823,23,8,2021,3
20171031,31,10,2017,4
20170209,9,2,2017,1
20170210,10,2,2017,1
20170211,11,2,2017,1
20170720,20,7,2017,3
20170721,21,7,2017,3
20170719,19,7,2017,3
20170722,22,7,2017,3
20170421,21,4,2017,2
20170422,22,4,2017,2
20171111,11,11,2017,4
20160203,3,2,2016,1
20160204,4,2,2016,1
20160205,5,2,2016,1
20160206,6,2,2016,1
20160202,2,2,2016,1
20160412,12,4,2016,2
20160415,15,4,2016,2
20160413,13,4,2016,2
20160414,14,4,2016,2
20160416,16,4,2016,2
20161112,12,11,2016,4
20180910,10,9,2018,3
20180402,2,4,2018,2
20180129,29,1,2018,1
20180209,9,2,2018,1
20180208,8,2,2018,1
20180207,7,2,2018,1
20180210,10,2,2018,1
20180620,20,6,2018,2
20180621,21,6,2018,2
20180622,22,6,2018,2
20180623,23,6,2018,2
20180719,19,7,2018,3
20180720,20,7,2018,3
20180718,18,7,2018,3
20180721,21,7,2018,3
20180206,6,2,2018,1
20180418,18,4,2018,2
20180420,20,4,2018,2
20180419,19,4,2018,2
20180421,21,4,2018,2
20181110,10,11,2018,4
20200127,27,1,2020,1
20200302,2,3,2020,1
20200309,9,3,2020,1
20200817,17,8,2020,3
20201005,5,10,2020,4
20201123,23,11,2020,4
20201130,30,11,2020,4
20210110,10,1,2021,1
20210117,17,1,2021,1
20210124,24,1,2021,1
20210131,31,1,2021,1
20210207,7,2,2021,1
20210214,14,2,2021,1
20210329,29,3,2021,1
20210705,5,7,2021,3
20190909,9,9,2019,3
20190401,1,4,2019,2
20191216,16,12,2019,4
20191022,22,10,2019,4
20190128,28,1,2019,1
20190603,3,6,2019,2
20190121,21,1,2019,1
20190208,8,2,2019,1
20190206,6,2,2019,1
20190207,7,2,2019,1
20190209,9,2,2019,1
20190418,18,4,2019,2
20190419,19,4,2019,2
20190417,17,4,2019,2
20190420,20,4,2019,2
20190416,16,4,2019,2
20191109,9,11,2019,4
20210106,6,1,2021,1
20210203,3,2,2021,1
20210213,13,2,2021,1
20210307,7,3,2021,1
20210429,29,4,2021,2
20210417,17,4,2021,2
20190708,8,7,2019,3
20191104,4,11,2019,4
20190902,2,9,2019,3
20190325,25,3,2019,1
20190311,11,3,2019,1
20180326,26,3,2018,1
20180709,9,7,2018,3
20180604,4,6,2018,2
20180903,3,9,2018,3
20180122,22,1,2018,1
20180312,12,3,2018,1
20181119,19,11,2018,4
20200803,3,8,2020,3
20200810,10,8,2020,3
20200205,5,2,2020,1
20200207,7,2,2020,1
20200206,6,2,2020,1
20200208,8,2,2020,1
20200304,4,3,2020,1
20200303,3,3,2020,1
20200307,7,3,2020,1
20200305,5,3,2020,1
20200204,4,2,2020,1
20180605,5,6,2018,2
20181203,3,12,2018,4
20181126,26,11,2018,4
20181210,10,12,2018,4
20181217,17,12,2018,4
20191125,25,11,2019,4
20191202,2,12,2019,4
20191209,9,12,2019,4
20191230,30,12,2019,4
20160304,4,3,2016,1
20160715,15,7,2016,3
20160916,16,9,2016,3
20161125,25,11,2016,4
20170203,3,2,2017,1
20170217,17,2,2017,1
20170407,7,4,2017,2
20170915,15,9,2017,3
20171124,24,11,2017,4
20210111,11,1,2021,1
20210118,18,1,2021,1
20210125,25,1,2021,1
20210215,15,2,2021,1
20201207,7,12,2020,4
20201214,14,12,2020,4
20201221,21,12,2020,4
20201228,28,12,2020,4
