player_id,country_id,name,sex,hand,ht,year_of_birth
105453,RUS,Daniil Medvedev,M,R,198.0,1997
106421,RUS,Daniil Medvedev,M,R,198.0,1997
104542,FRA,Jo-Wilfried Tsonga,,R,188.0,1986
104871,FRA,Jeremy Chardy,M,R,188.0,1988
200282,AUS,Alex De Minaur,M,R,183.0,2000
105683,CAN,Milos Raonic,M,R,196.0,1991
106034,JPN,Yasutaka Uchiyama,M,R,,1993
105777,BUL,Grigor Dimitrov,M,R,188.0,1992
106121,JPN,Taro Daniel,M,R,,1994
111442,AUS,Jordan Thompson,M,R,183.0,1995
104918,GBR,Andy Murray,M,R,190.0,1988
200175,SRB,Miomir Kecmanovic,M,R,183.0,2000
106401,AUS,Nick Kyrgios,M,R,193.0,1996
106378,GBR,Kyle Edmund,M,R,188.0,1996
105357,AUS,John Millman,M,R,183.0,1990
106045,USA,Denis Kudla,M,R,180.0,1993
106423,AUS,Thanasi Kokkinakis,M,R,,1997
106109,AUS,Alex Bolt,M,L,,1994
200615,AUS,Alexei Popyrin,M,R,196.0,2000
105902,AUS,James Duckworth,M,R,183.0,1993
104919,ARG,Leonardo Mayer,M,R,188.0,1988
105379,SLO,Aljaz Bedene,M,R,181.0,1990
105992,USA,Ryan Harrison,M,R,183.0,1993
105526,GER,Jan Lennard Struff,M,R,193.0,1991
200005,FRA,Ugo Humbert,M,L,188.0,1999
106415,JPN,Yoshihito Nishioka,M,L,170.0,1996
105815,USA,Tennys Sandgren,M,R,188.0,1992
126203,USA,Taylor Fritz,,R,193.0,1998
215018,FRA,Kristina Mladenovic,F,R,184.0,1994
201540,FRA,Kristina Mladenovic,F,R,184.0,1994
211279,AUS,Priscilla Hon,F,R,,1999
211880,AUS,Priscilla Hon,F,R,,1999
201545,AUS,Daria Gavrilova,F,R,166.0,1995
201611,AUS,Daria Gavrilova,F,R,166.0,1995
201520,USA,Danielle Rose Collins,F,R,178.0,1994
203389,USA,Danielle Rose Collins,F,R,178.0,1994
204426,ESP,Carla Suarez Navarro,F,R,162.0,1989
201521,ESP,Carla Suarez Navarro,F,R,162.0,1989
201615,ROU,Mihaela Buzarnescu,F,L,,1989
202596,ROU,Mihaela Buzarnescu,F,L,,1989
214040,RUS,Darya Kasatkina,F,R,170.0,1998
214082,RUS,Darya Kasatkina,F,R,170.0,1998
201662,KAZ,Yulia Putintseva,F,R,163.0,1996
201709,KAZ,Yulia Putintseva,F,R,163.0,1996
213631,AUS,Samantha Stosur,F,R,172.0,1985
201325,AUS,Samantha Stosur,F,R,172.0,1985
201548,CZE,Katerina Siniakova,F,R,174.0,1997
211701,CZE,Katerina Siniakova,F,R,174.0,1997
202427,USA,Sloane Stephens,F,R,170.0,1994
201585,USA,Sloane Stephens,F,R,170.0,1994
202428,BEL,Elise Mertens,F,R,179.0,1996
210722,BEL,Elise Mertens,F,R,179.0,1996
202499,SVK,Magdalena Rybarikova,F,R,180.0,1989
201517,SVK,Magdalena Rybarikova,F,R,180.0,1989
205925,RUS,Anastasia Potapova,F,R,,2002
215713,RUS,Anastasia Potapova,F,R,,2002
211768,AUS,Destanee Aiava,F,R,,2001
202494,UKR,Elina Svitolina,F,R,174.0,1995
106216,USA,Bjorn Fratangelo,M,R,,1994
117360,USA,Reilly Opelka,M,R,211.0,1998
124187,USA,Reilly Opelka,M,R,211.0,1998
105166,CAN,Peter Polansky,M,R,180.0,1989
106426,AUS,Christopher O'Connell,,R,183.0,1995
106331,AUS,Christopher O'Connell,,R,183.0,1995
105974,AUS,Maverick Banes,M,R,,1993
105441,AUS,John Patrick Smith,M,L,,1990
134329,AUS,Blake Ellis,M,U,,2000
111153,USA,Bradley Klahn,M,L,190.0,1991
105614,USA,Bradley Klahn,M,L,190.0,1991
216146,GBR,Heather Watson,F,R,170.0,1993
201586,GBR,Heather Watson,F,R,170.0,1993
202424,SUI,Conny Perrin,F,R,,1991
203530,AUS,Naiktha Bains,F,R,,1998
206362,AUS,Naiktha Bains,F,R,,1998
211684,USA,Bernarda Pera,F,L,,1995
211095,USA,Bernarda Pera,F,L,,1995
203462,USA,Allie Kiick,F,R,,1996
213530,USA,Allie Kiick,F,R,,1996
214452,USA,Caroline Dolehide,F,R,,1999
201556,SRB,Olga Danilovic,F,L,,2002
215337,SRB,Olga Danilovic,F,L,,2002
201492,RUS,Sofya Zhuk,F,R,,2000
214863,RUS,Sofya Zhuk,F,R,,2000
202484,USA,Nicole Gibbs,F,R,,1994
211941,BEL,Yanina Wickmayer,F,R,182.0,1990
201518,BEL,Yanina Wickmayer,F,R,182.0,1990
214096,AUS,Lizette Cabrera,F,R,,1998
211878,AUS,Lizette Cabrera,F,R,,1998
215035,USA,Varvara Lepchenko,F,L,180.0,1987
201478,USA,Varvara Lepchenko,F,L,180.0,1987
201605,JPN,Kurumi Nara,F,R,155.0,1992
201597,JPN,Kurumi Nara,F,R,155.0,1992
201447,USA,Vania King,F,R,165.0,1990
202600,USA,Jennifer Brady,F,R,178.0,1996
206108,USA,Jennifer Brady,F,R,178.0,1996
201539,SRB,Aleksandra Krunic,F,R,,1994
202434,SRB,Aleksandra Krunic,F,R,,1994
105138,CZE,Tomas Berdych,M,R,196.0,1986
104607,CZE,Tomas Berdych,M,R,196.0,1986
104925,SRB,Novak Djokovic,M,R,188.0,1988
106065,ITA,Marco Cecchinato,M,R,185.0,1993
105932,GEO,Nikoloz Basilashvili,M,R,185.0,1993
104527,SUI,Stan Wawrinka,,R,183.0,1986
105583,SRB,Dusan Lajovic,M,R,180.0,1991
105732,FRA,Pierre Hugues Herbert,M,R,188.0,1992
105916,HUN,Marton Fucsovics,M,R,188.0,1993
126094,RUS,Andrey Rublev,M,R,188.0,1998
111797,CHI,Nicolas Jarry,M,R,,1996
104198,ESP,Guillermo Garcia Lopez,M,R,188.0,1984
105575,LTU,Ricardas Berankis,M,R,175.0,1991
105550,ARG,Guido Pella,M,L,185.0,1991
104269,ESP,Fernando Verdasco,M,L,188.0,1984
109739,GER,Maximilian Marterer,M,L,,1996
106000,BIH,Damir Dzumhur,M,R,172.0,1993
105657,ROU,Marius Copil,M,R,193.0,1991
104312,ITA,Andreas Seppi,M,R,190.0,1985
105077,ESP,Albert Ramos,M,L,188.0,1989
111575,RUS,Karen Khachanov,M,R,198.0,1997
104898,NED,Robin Haase,M,R,190.0,1988
122570,QAT,Mubarak Shannan Zayid,M,U,,1996
126610,ITA,Matteo Berrettini,M,R,196.0,1997
105676,BEL,David Goffin,M,R,180.0,1991
105173,FRA,Adrian Mannarino,M,L,183.0,1989
117356,TUR,Cem Ilkel,M,R,,1996
104660,UKR,Sergiy Stakhovsky,M,R,193.0,1987
103893,ITA,Paolo Lorenzi,M,R,183.0,1982
104259,GER,Philipp Kohlschreiber,M,R,178.0,1984
105376,GER,Peter Gojowczyk,M,R,185.0,1990
106233,AUT,Dominic Thiem,M,R,185.0,1994
110602,AUT,Dennis Novak,M,R,,1994
106325,QAT,Jabor Al Mutawa,M,U,,1995
104571,CZE,Lukas Rosol,M,R,196.0,1986
104586,CZE,Lukas Rosol,M,R,196.0,1986
104868,GBR,James Ward,M,R,190.0,1988
126237,ITA,Gian Marco Moroni,M,R,,1999
105806,GER,Matthias Bachinger,M,R,188.0,1988
104897,GER,Matthias Bachinger,M,R,188.0,1988
105477,QAT,Mousa Shanan Zayed,M,U,,1995
110476,QAT,Mousa Shanan Zayed,M,U,,1995
105063,ITA,Andrea Arnaboldi,M,L,,1988
104731,CRO,Ivo Karlovic,M,R,208.0,1980
103333,CRO,Ivo Karlovic,M,R,208.0,1980
104468,FRA,Gilles Simon,M,R,183.0,1985
104327,BEL,Steve Darcis,M,R,178.0,1985
144719,ESP,Jaume Munar,M,R,183.0,1998
105332,FRA,Benoit Paire,M,R,196.0,1990
104291,TUN,Malek Jaziri,M,R,185.0,1985
105208,LAT,Ernests Gulbis,M,R,190.0,1989
111513,SRB,Laslo Djere,M,R,188.0,1996
104620,ITA,Simone Bolelli,M,R,183.0,1986
125802,BLR,Ilya Ivashka,M,R,193.0,1995
106210,CZE,Jiri Vesely,M,L,198.0,1994
111581,USA,Michael Mmoh,M,R,,1999
106368,IND,Ramkumar Ramanathan,M,R,,1995
105539,RUS,Evgeny Donskoy,M,R,185.0,1991
111202,KOR,Hyeon Chung,M,R,,1997
111459,IND,Arjun Kadhe,M,R,,1995
104797,UZB,Denis Istomin,M,R,188.0,1987
105430,MDA,Radu Albot,M,R,175.0,1990
128034,POL,Hubert Hurkacz,M,R,196.0,1998
126156,FRA,Antoine Hoang,,R,,1996
106329,BRA,Thiago Monteiro,M,L,183.0,1995
106148,ESP,Roberto Carballes Baena,M,R,183.0,1994
105432,IND,Prajnesh Gunneswaran,M,L,,1990
104719,ESP,Marcel Granollers,M,R,190.0,1987
104665,ESP,Pablo Andujar,M,R,180.0,1987
200000,CAN,Felix Auger Aliassime,M,R,193.0,2001
105155,POR,Pedro Sousa,M,R,180.0,1989
106078,ESP,Daniel Gimeno Traver,M,R,185.0,1986
104593,ESP,Daniel Gimeno Traver,M,R,185.0,1986
105031,TPE,Jason Jung,M,R,,1990
105359,TPE,Jason Jung,M,R,,1990
105413,SVK,Andrej Martin,M,R,180.0,1990
104978,GER,Daniel Brands,M,R,196.0,1988
111790,CAN,Brayden Schnur,M,R,,1996
124116,BEL,Ruben Bemelmans,M,L,,1989
105074,BEL,Ruben Bemelmans,M,L,,1989
106420,IND,Sasi Kumar Mukund,M,R,,1998
124154,IND,Sasi Kumar Mukund,M,R,,1998
105656,ESA,Marcelo Arevalo,M,R,,1991
111815,GBR,Cameron Norrie,M,L,188.0,1996
105807,ESP,Pablo Carreno Busta,M,R,188.0,1992
104926,ITA,Fabio Fognini,M,R,178.0,1988
104545,USA,John Isner,M,R,206.0,1986
105311,POR,Joao Sousa,M,R,185.0,1990
103970,ESP,David Ferrer,M,R,175.0,1983
104907,NZL,Jose Rubin Statham,M,R,183.0,1988
133430,CAN,Denis Shapovalov,M,L,185.0,2000
105449,USA,Steve Johnson,M,R,188.0,1990
111456,USA,Mackenzie McDonald,,R,,1996
104655,URU,Pablo Cuevas,M,R,180.0,1986
104547,ARG,Horacio Zeballos,M,L,188.0,1986
105047,GER,Tim Puetz,M,R,,1988
103565,FRA,Stephane Robert,M,R,185.0,1981
104667,AUT,Philipp Oswald,M,R,,1987
105341,NZL,Finn Tearney,M,R,,1991
110686,NZL,Finn Tearney,M,R,,1991
109054,GER,Daniel Masur,M,R,,1995
105406,NZL,Ajeet Rai,M,R,,2000
208055,NZL,Ajeet Rai,M,R,,2000
105015,CRO,Franko Skugor,,R,193.0,1988
106043,ARG,Diego Schwartzman,,R,170.0,1993
126774,GRE,Stefanos Tsitsipas,M,R,193.0,1999
105819,ARG,Guido Andreozzi,M,R,,1992
105373,SVK,Martin Klizan,M,L,190.0,1990
105023,USA,Sam Querrey,M,R,198.0,1988
105051,AUS,Matthew Ebden,M,R,188.0,1988
106298,FRA,Lucas Pouille,M,R,185.0,1995
126207,USA,Frances Tiafoe,,R,188.0,1999
202429,AUS,Ajla Tomljanovic,F,R,,1994
201444,USA,Danielle Rose Collins,F,R,178.0,1994
214544,BLR,Aryna Sabalenka,F,R,182.0,1999
201490,LAT,Anastasija Sevastova,F,R,,1991
201495,SVK,Dominika Cibulkova,F,R,161.0,1990
213583,GER,Tatjana Maria,F,R,,1988
202469,ESP,Carla Suarez Navarro,F,R,162.0,1989
206420,RUS,Ekaterina Alexandrova,F,R,175.0,1995
201620,PUR,Monica Puig,F,R,170.0,1994
202458,LAT,Jelena Ostapenko,F,R,177.0,1998
211533,LAT,Jelena Ostapenko,F,R,177.0,1998
201493,ITA,Camila Giorgi,F,R,168.0,1992
201594,ROU,Simona Halep,F,R,168.0,1992
106186,AUS,Jason Kubler,M,R,,1994
201527,SUI,Stefanie Voegele,F,R,170.0,1991
214956,CZE,Miriam Kolodziejova,F,R,,1998
205923,AUS,Abbie Myers,F,R,,1995
213666,AUS,Maddison Inglis,F,R,171.0,1999
201610,CZE,Barbora Zahlavova Strycova,F,R,164.0,1987
201366,CZE,Barbora Zahlavova Strycova,F,R,164.0,1987
215811,AUS,Alexandra Bozovic,F,U,,2000
205815,JPN,Eri Hozumi,F,R,,1995
201318,USA,Bethanie Mattek Sands,F,R,168.0,1986
214461,SLO,Tamara Zidansek,F,R,168.0,1998
104745,ESP,Rafael Nadal,M,L,185.0,1987
103819,SUI,Roger Federer,M,R,185.0,1982
100644,GER,Alexander Zverev,M,R,198.0,1998
105227,CRO,Marin Cilic,M,R,198.0,1989
106432,CRO,Borna Coric,M,R,188.0,1997
105936,ITA,Marco Cecchinato,M,R,185.0,1993
104792,FRA,Gael Monfils,M,R,193.0,1987
106283,USA,Mitchell Krueger,M,R,,1994
105554,GBR,Daniel Evans,M,R,175.0,1991
111794,POL,Kamil Majchrzak,M,R,,1996
104678,SRB,Viktor Troicki,M,R,193.0,1987
144750,RSA,Lloyd Harris,,R,193.0,1998
200484,GER,Rudolf Molleker,M,R,,2001
105882,ITA,Stefano Travaglia,M,R,185.0,1992
104563,ITA,Luca Vanni,M,R,,1986
105967,SUI,Henri Laaksonen,M,R,,1993
105147,JPN,Tatsuma Ito,M,R,180.0,1989
105163,FRA,Gleb Sakharov,M,R,,1989
104810,CHN,Zhe Li,M,R,,1987
106058,USA,Jack Sock,M,R,185.0,1993
106071,AUS,Bernard Tomic,M,R,193.0,1993
104386,SRB,Janko Tipsarevic,M,R,180.0,1985
105062,KAZ,Mikhail Kukushkin,M,R,183.0,1988
104999,GER,Mischa Zverev,M,L,190.0,1988
105643,ARG,Federico Delbonis,M,L,190.0,1991
103852,ESP,Feliciano Lopez,M,L,188.0,1982
201466,EST,Kaia Kanepi,F,R,181.0,1986
213550,RUS,Veronika Kudermetova,F,R,175.0,1998
206368,RUS,Veronika Kudermetova,F,R,175.0,1998
201427,ESP,Lara Arruabarrena,F,R,166.0,1993
202418,ESP,Lara Arruabarrena,F,R,166.0,1993
200748,ROU,Mihaela Buzarnescu,F,L,,1989
216262,FRA,Clara Burel,F,R,176.0,2002
202446,CHN,Shuai Peng,F,R,173.0,1986
201397,CHN,Shuai Peng,F,R,173.0,1986
200033,GER,Tatjana Maria,F,R,,1988
212001,USA,Varvara Lepchenko,F,L,180.0,1987
202453,CHN,Saisai Zheng,F,R,170.0,1995
203435,SLO,Dalila Jakupovic,F,R,,1992
216347,ROU,Ana Bogdan,F,R,,1993
202536,ROU,Ana Bogdan,F,R,,1993
201483,JPN,Misaki Doi,F,L,159.0,1992
201595,JPN,Misaki Doi,F,L,159.0,1992
202663,POL,Magda Linette,F,R,171.0,1993
201696,BLR,Victoria Azarenka,F,R,180.0,1990
201458,BLR,Victoria Azarenka,F,R,180.0,1990
202492,FRA,Fiona Ferro,F,R,170.0,1998
211539,FRA,Fiona Ferro,F,R,170.0,1998
215370,USA,Whitney Osuigwe,F,R,,2003
215992,USA,Whitney Osuigwe,F,R,,2003
201621,GER,Mona Barthel,F,R,185.0,1991
203533,SVK,Anna Karolina Schmiedlova,F,R,,1995
202506,CHN,Lin Zhu,F,R,,1995
202684,CHN,Lin Zhu,F,R,,1995
201426,FRA,Pauline Parmentier,F,R,175.0,1987
201619,AUS,Destanee Aiava,F,R,,2001
201533,SVK,Dominika Cibulkova,F,R,161.0,1990
201697,RUS,Anna Blinkova,F,R,,1999
215020,RUS,Anna Blinkova,F,R,,1999
214149,UKR,Kateryna Kozlova,F,R,,1995
201593,GER,Andrea Petkovic,F,R,180.0,1988
202505,CZE,Katerina Siniakova,F,R,174.0,1997
216153,ROU,Monica Niculescu,F,R,168.0,1988
201512,ROU,Monica Niculescu,F,R,168.0,1988
211107,RUS,Ekaterina Makarova,F,L,178.0,1989
201505,RUS,Ekaterina Makarova,F,L,178.0,1989
214939,RUS,Anna Kalinskaya,F,R,,1999
202503,THA,Luksika Kumkhum,F,R,,1994
206374,AUS,Ellen Perez,F,L,,1996
206391,AUS,Ellen Perez,F,L,,1996
206292,AUS,Priscilla Hon,F,R,,1999
206289,LAT,Jelena Ostapenko,F,R,177.0,1998
201345,GBR,Harriet Dart,F,R,,1997
202490,ROU,Sorana Cirstea,F,R,176.0,1991
201514,ROU,Sorana Cirstea,F,R,176.0,1991
201596,BLR,Vera Lapko,F,R,,1999
214304,BLR,Vera Lapko,F,R,,1999
201496,BEL,Alison Van Uytvanck,F,R,173.0,1995
202421,BEL,Alison Van Uytvanck,F,R,173.0,1995
203501,USA,Taylor Townsend,F,L,,1997
201693,TUN,Ons Jabeur,F,R,167.0,1995
202460,TUN,Ons Jabeur,F,R,167.0,1995
214954,RUS,Evgeniya Rodina,F,R,,1990
201516,RUS,Evgeniya Rodina,F,R,,1990
201549,GBR,Heather Watson,F,R,170.0,1993
204427,ESP,Sara Sorribes Tormo,F,R,,1997
201465,BEL,Kirsten Flipkens,F,R,165.0,1986
201499,PUR,Monica Puig,F,R,170.0,1994
201590,USA,Alison Riske,F,R,173.0,1991
201504,GER,Julia Goerges,F,R,180.0,1989
203500,BEL,Ysaline Bonaventure,F,L,,1995
204434,BEL,Ysaline Bonaventure,F,L,,1995
201614,FRA,Jessika Ponchet,F,U,,1997
211316,FRA,Jessika Ponchet,F,U,,1997
211651,ESP,Paula Badosa,F,R,180.0,1998
206242,USA,Bernarda Pera,F,L,,1995
201555,SLO,Polona Hercog,F,R,182.0,1992
